,datetime,open,close,high,low,volume,openinterest
18437,20210514  07:35,587.73,587.5,588.0,587.0,24,
18438,20210514  07:40,587.74,587.52,587.8,587.25,11,
18439,20210514  07:45,587.65,586.54,587.65,586.54,24,
18440,20210514  07:50,586.61,586.83,587.2,586.61,24,
18441,20210514  07:55,586.75,587.58,587.98,586.69,16,
18442,20210514  08:00,587.08,588.0,589.35,585.75,395,
18443,20210514  08:05,588.0,588.65,588.65,588.0,53,
18444,20210514  08:10,588.5,588.03,588.88,588.0,155,
18445,20210514  08:15,588.37,588.26,588.9,588.0,75,
18446,20210514  08:20,588.48,588.25,588.85,588.0,53,
18447,20210514  08:25,588.79,588.55,589.4,588.51,106,
18448,20210514  08:30,588.55,586.0,588.7,586.0,181,
18449,20210514  08:35,586.0,583.91,586.0,583.68,172,
18450,20210514  08:40,584.0,585.5,585.75,584.0,68,
18451,20210514  08:45,585.25,584.06,585.6,584.0,73,
18452,20210514  08:50,584.35,585.0,585.21,583.36,123,
18453,20210514  08:55,585.0,585.29,585.3,584.5,94,
18454,20210514  09:00,585.05,585.54,585.7,584.05,125,
18455,20210514  09:05,585.61,587.5,587.55,585.6,110,
18456,20210514  09:10,587.98,587.01,587.98,586.5,83,
18457,20210514  09:15,587.29,584.58,587.29,584.58,125,
18458,20210514  09:20,584.59,585.7,586.0,584.27,100,
18459,20210514  09:25,585.85,583.43,585.85,583.0,108,
18460,20210514  09:30,583.4,580.33,584.02,579.0,7393,
18461,20210514  09:35,580.58,577.61,580.63,576.1,4139,
18462,20210514  09:40,577.78,576.75,579.42,574.31,4637,
18463,20210514  09:45,576.97,571.44,577.95,571.26,4389,
18464,20210514  09:50,571.5,574.63,575.85,570.46,4932,
18465,20210514  09:55,574.64,575.52,577.2,571.56,4204,
18466,20210514  10:00,575.27,576.05,577.43,573.9,3367,
18467,20210514  10:05,576.07,573.12,576.92,572.18,3085,
18468,20210514  10:10,573.26,579.72,579.93,572.85,4788,
18469,20210514  10:15,579.92,578.61,580.99,578.31,4526,
18470,20210514  10:20,578.69,578.83,579.65,577.19,2398,
18471,20210514  10:25,578.87,585.0,586.41,578.87,6729,
18472,20210514  10:30,584.8,588.42,588.77,584.8,4667,
18473,20210514  10:35,588.43,587.6,588.73,585.8,4554,
18474,20210514  10:40,587.64,589.61,592.87,587.45,6320,
18475,20210514  10:45,589.82,589.95,591.78,588.62,3263,
18476,20210514  10:50,590.0,587.35,591.99,587.31,3184,
18477,20210514  10:55,587.45,587.61,587.93,585.77,3590,
